C:\Users\sarahjane\Desktop\our_study
AverageSleep,GPA,Happiness,DASScore,ClassesMissed
7.18,3.6,28,15,0
6.93,3.24,25,4,0
5.02,2.97,17,45,12
6.9,3.76,32,11,0
6.35,3.2,15,46,4
9.04,3.5,22,50,0
7.52,3.35,25,2,2
9.01,3,29,7,0
8.54,4,29,48,0
6.68,2.9,30,48,0
8.09,3.7,14,27,0
8.43,3,24,21,0
6.89,3.3,21,41,0
7.45,3.3,20,8,6
8.93,3.5,28,5,1
8.9,3.4,23,15,0
8.34,2.8,25,44,5
8.22,3,24,55,0
8.39,2.8,30,6,0
7.43,2.8,19,21,20
7.29,3.05,30,34,4
8.57,3.3,34,19,1
9.39,2.9,28,12,1
9.57,3,27,11,5
8,3.2,25,18,0
9.87,3.07,24,44,20
8.75,3,28,41,10
8.57,2.9,17,56,0
7.71,3.4,27,18,3
7.43,3,25,29,2
8.32,3.75,25,53,0
9.07,4,15,21,0
8.64,2.8,18,7,0
9.06,2.35,21,27,6
7.14,3.04,23,41,0
7.79,2.75,27,16,0
6.93,3.5,27,7,1
8.33,3.2,25,12,0
9.68,3.25,30,26,5
8.43,2.9,25,40,4
7.82,3.84,30,4,1
7.93,3.5,28,15,0
7.98,2.8,26,0,1
8.93,3.25,31,20,2
8.46,2.9,24,22,0
8.3,3.5,24,33,2
8.61,3.1,26,31,6
6.14,3.2,28,12,1
6.07,3.4,30,7,2
6.39,2.5,27,20,0
8.36,3.25,31,8,0
7.68,3,25,69,0
8.27,3.2,30,15,3
9.07,3.25,21,29,4
6.14,2,23,4,1
5.78,3.4,28,20,1
8.9,3.4,16,59,2
7.05,3.3,29,45,2
8.29,3.25,29,5,0
6.29,2.5,21,10,3
7.96,3.2,31,6,2
8.16,3.25,30,0,1
7.24,3.32,25,16,5
7.13,3,12,74,2
6.12,3.67,32,26,14
9.29,3.1,31,10,10
10.45,2,22,10,1
7.98,3.2,30,7,0
9.14,3.4,30,23,0
8.66,3.11,33,6,4
7.85,3.4,33,11,1
8.44,2.4,25,12,4
7.9,4,20,28,0
7.96,3.35,12,56,2
8.73,3.3,30,21,1
8.21,3.3,24,31,2
8.07,3.6,29,39,1
8.24,3.25,24,9,0
7.59,3.6,30,11,3
8.94,3.3,25,14,2
8.11,3.3,19,29,0
8.23,3,28,9,3
8.42,2.84,29,36,0
9.05,2.75,33,1,2
4.95,3.12,30,41,15
6,3.6,27,2,0
9.19,3.75,20,47,0
7.21,3.7,31,10,0
8.8,2.4,19,21,0
6.82,3.6,30,46,0
9.64,3,28,3,1
7.29,3.95,18,40,3
8.43,3.43,28,4,0
8.18,2.81,27,18,2
7,3,34,0,1
9,3.52,28,8,1
7.87,3.2,30,7,7
7.46,3.67,13,8,1
8.86,3.6,29,8,6
7.64,3.62,33,35,4
8.11,3.6,31,0,0
6.5,3.9,25,25,0
6.51,3.5,28,25,1
7.83,3.7,17,47,0
7.63,3.2,16,53,2
8.49,3.2,28,20,0
9.96,3,28,3,1
9.8,3.3,20,71,7
7.93,3.8,31,25,1
7.05,3.5,29,12,0
7.61,3.93,29,22,0
7.84,3.78,26,5,0
8.52,3.83,33,1,0
8.59,3.3,28,0,0
6.36,3.1,29,10,3
8.54,3.35,27,8,0
7.21,3.5,33,2,1
7.64,3.75,5,49,2
7.05,3.68,28,6,0
8,3.3,16,27,7
7.25,2.66,28,2,2
9.25,3.36,32,13,0
7.71,3.2,13,31,2
8.2,3,29,19,5
7.6,3.7,29,8,1
7.4,2.3,31,7,4
7.81,3,30,17,4
9.15,4,32,6,0
8.71,3,15,45,7
5.93,3.5,28,39,2
7.54,2.9,29,6,0
7.73,3,25,40,1
7.67,3.5,30,10,1
7.18,3.4,25,21,0
8.68,3.9,24,13,4
7.88,3.72,29,13,1
6,3.5,29,19,0
7.39,3.6,28,54,1
7.87,3.6,30,2,2
5.75,3.8,19,28,4
9.32,3.44,27,31,0
6.78,3.89,32,22,2
6.43,3.5,25,32,2
9,3.61,11,82,2
9.19,3.43,31,8,2
7.99,3.79,30,14,0
6.36,3.4,21,19,6
7.26,3.19,30,21,13
7.53,3.1,29,6,7
7.64,3.52,19,21,1
8.89,3.2,30,1,0
7.83,3.25,21,23,3
7.04,3,23,6,7
8,3.74,33,24,1
8.79,3.3,26,8,0
8.17,3,29,4,1
8.18,2.8,27,30,1
9.85,4,19,42,0
7.89,3.9,29,3,0
7.5,4,28,2,0
8.21,3.5,29,67,0
8.71,3.4,31,8,0
8.93,3.25,26,19,15
6.93,2.5,29,30,0
7.79,3.3,30,10,0
8.21,3.5,35,2,0
8.29,2.5,26,28,0
7.3,4,25,9,3
7.86,2.4,31,16,4
8.18,3.15,30,15,2
7.75,3.75,31,23,0
7.96,3,20,6,0
7.64,3.75,27,28,0
6.51,3.5,11,43,3
9.87,3.3,24,9,2
7.86,2.75,30,10,0
6.69,2.5,12,50,1
10.62,2.75,29,18,2
7.11,2.8,31,3,0
8.04,3.4,27,36,1
8.61,3.8,27,0,1
6.57,3.6,22,21,1
8.43,2.75,29,6,5
8.75,3.1,28,5,3
8.29,2.5,28,5,3
7.32,3.25,32,11,1
8.49,3.5,21,13,4
7.57,2.77,27,26,2
7.43,3.7,27,23,2
8.88,3.3,31,12,5
7.43,2.8,22,25,0
7.5,3.7,29,43,1
6.19,3.2,27,28,3
5.96,3.24,0,31,6
7.52,2.75,21,68,5
8.07,3.4,33,3,1
7.98,3.3,20,16,0
8.81,2.8,29,17,2
8.82,3.32,28,17,0
9.05,3.7,28,48,6
7.63,3,30,12,6
8.75,3.2,35,1,0
6.43,2,22,0,2
7.93,2.98,31,12,14
9.61,3,32,3,3
8.42,2.5,29,22,1
7.38,3.2,25,1,0
8.19,3.6,28,25,1
8.24,3.2,26,32,1
8.46,3.56,22,37,4
8.9,3,28,8,1
7.93,3.1,27,10,0
6.96,3.3,27,20,1
7.93,3.55,23,1,1
8.39,2.9,33,2,0
8.57,4,24,36,1
8.23,3.75,25,15,2
9.11,3.42,26,21,0
8.43,2.5,30,10,6
7.68,3,17,17,2
8.36,3,28,9,2
7.91,3,31,11,2
8.27,3.23,30,4,0
7.94,2.4,24,2,3
8.68,3.2,22,2,2
7.44,3,29,5,5
7.24,3.35,24,29,2
8.21,2.8,26,27,4
9.64,3.25,29,34,1
9.21,3.6,18,13,0
7.29,2.8,18,22,6
5.64,3.5,30,14,0
7.25,3.5,27,11,0
8.61,3.4,25,14,0
7,3.3,18,45,6
7.14,3.4,26,27,0
8.26,2.8,32,2,1
7.98,3.72,32,13,2
7.75,3.4,23,12,0
8.26,3.3,27,24,3
10,2.7,25,12,0
8.75,3.4,30,4,0
8.86,3.15,30,7,2
8.24,3.5,30,27,0
6.5,2.5,29,24,8
8.54,3.25,34,11,0
8.38,3.15,30,2,10
7.61,3.34,30,9,0
7.55,3.35,16,24,7
9.17,3,20,19,1
8.07,3.5,35,3,1
8.55,2.6,31,5,0
8.82,2.5,32,5,3
